"hex_id","VALUE","weighted_pixels","hectares","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE"
6,2139,771.299982760102,69.4169984484091,"Ozark-Ouachita Mesic Hardwood Forest","Hardwood",316,110,25,19,6,18,76,"I-C",0,135,74,0,0.529412,0.290196
6,2140,9409.67978967726,846.871181070954,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
6,2141,2471.03994476795,222.393595029116,"Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland","Conifer",347,92,5,5,1,5,94,"I-A",196,164,100,0.768627,0.643137,0.392157
6,2142,13957.4296880271,1256.16867192244,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
6,2151,7369.87983527035,663.289185174331,"West Gulf Coastal Plain Pine-Hardwood Flatwoods","Hardwood-Conifer",179,104,5,5,3,4,93,"I-A",99,235,97,0.388235,0.921569,0.380392
6,2153,2191.91995100677,197.272795590609,"Central Interior and Appalachian Floodplain Systems-Large Floodplains","Riparian",142,-9999,100,59,41,-9999,59,"III-A",48,237,56,0.188235,0.929412,0.219608
6,2159,10196.9097720813,917.721879487317,"West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods","Hardwood",308,130,38,27,9,21,70,"I-C",38,115,0,0.14902,0.45098,0
6,2160,24500.4894523714,2205.04405071342,"Ozark-Ouachita Shortleaf Pine-Bluestem Woodland","Hardwood-Conifer",100,1223,2,2,2,1,97,"I-A",68,137,112,0.266667,0.537255,0.439216
7,11,1258.2999718748,113.246997468732,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
7,2132,28357.5693661589,2552.1812429543,"Ozark-Ouachita Dry-Mesic Oak Forest","Hardwood",188,66,15,11,6,17,77,"I-B",115,115,0,0.45098,0.45098,0
7,2139,3383.79992436618,304.541993192956,"Ozark-Ouachita Mesic Hardwood Forest","Hardwood",316,110,25,19,6,18,76,"I-C",0,135,74,0,0.529412,0.290196
7,2140,16339.4796347842,1470.55316713057,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
7,2141,18587.7795845307,1672.90016260777,"Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland","Conifer",347,92,5,5,1,5,94,"I-A",196,164,100,0.768627,0.643137,0.392157
7,2153,3423.43992348015,308.109593113214,"Central Interior and Appalachian Floodplain Systems-Large Floodplains","Riparian",142,-9999,100,59,41,-9999,59,"III-A",48,237,56,0.188235,0.929412,0.219608
7,2158,63.9999985694885,5.75999987125397,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431
7,2160,21181.8195265494,1906.36375738945,"Ozark-Ouachita Shortleaf Pine-Bluestem Woodland","Hardwood-Conifer",100,1223,2,2,2,1,97,"I-A",68,137,112,0.266667,0.537255,0.439216
8,11,308.019993115216,27.7217993803695,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
8,2138,181.969995932654,16.3772996339388,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
8,2140,0.999999977648258,0.0899999979883432,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
8,2142,23807.4794678614,2142.67315210752,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
8,2143,1985.94995561056,178.73549600495,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland","Hardwood-Conifer",159,390,5,5,3,1,96,"I-A",209,217,0,0.819608,0.85098,0
8,2150,36722.9791791774,3305.06812612597,"West Gulf Coastal Plain Northern Calcareous Prairie","Grassland",1280,7,7,3,1,52,47,"I-A",255,0,110,1,0,0.431373
8,2155,14964.8096655104,1346.83286989594,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
8,2156,14618.9696732406,1315.70727059165,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Riparian",431,129,50,33,8,26,66,"I-C",171,185,235,0.670588,0.72549,0.921569
8,2159,4.99999988824129,0.449999989941716,"West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods","Hardwood",308,130,38,27,9,21,70,"I-C",38,115,0,0.14902,0.45098,0
9,11,1239.60997229256,111.56489750633,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
9,2132,6698.98985026591,602.909086523931,"Ozark-Ouachita Dry-Mesic Oak Forest","Hardwood",188,66,15,11,6,17,77,"I-B",115,115,0,0.45098,0.45098,0
9,2138,3396.60992407985,305.694893167187,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
9,2139,84.5999981090426,7.61399982981384,"Ozark-Ouachita Mesic Hardwood Forest","Hardwood",316,110,25,19,6,18,76,"I-C",0,135,74,0,0.529412,0.290196
9,2140,5075.81988654658,456.823789789192,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
9,2141,2079.83995351195,187.185595816076,"Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland","Conifer",347,92,5,5,1,5,94,"I-A",196,164,100,0.768627,0.643137,0.392157
9,2142,28243.2493687142,2541.89244318428,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
9,2143,3378.71992447972,304.084793203175,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland","Hardwood-Conifer",159,390,5,5,3,1,96,"I-A",209,217,0,0.819608,0.85098,0
9,2150,361.999991908669,32.5799992717803,"West Gulf Coastal Plain Northern Calcareous Prairie","Grassland",1280,7,7,3,1,52,47,"I-A",255,0,110,1,0,0.431373
9,2151,9008.62979864143,810.776681877729,"West Gulf Coastal Plain Pine-Hardwood Flatwoods","Hardwood-Conifer",179,104,5,5,3,4,93,"I-A",99,235,97,0.388235,0.921569,0.380392
9,2153,1015.99997729063,91.4399979561567,"Central Interior and Appalachian Floodplain Systems-Large Floodplains","Riparian",142,-9999,100,59,41,-9999,59,"III-A",48,237,56,0.188235,0.929412,0.219608
9,2155,1357.29996966198,122.156997269578,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
9,2156,2649.52994077839,238.457694670055,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Riparian",431,129,50,33,8,26,66,"I-C",171,185,235,0.670588,0.72549,0.921569
9,2159,14599.2396736816,1313.93157063134,"West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods","Hardwood",308,130,38,27,9,21,70,"I-C",38,115,0,0.14902,0.45098,0
9,2160,13406.0497003514,1206.54447303163,"Ozark-Ouachita Shortleaf Pine-Bluestem Woodland","Hardwood-Conifer",100,1223,2,2,2,1,97,"I-A",68,137,112,0.266667,0.537255,0.439216
10,11,11.9999997317791,1.07999997586012,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
10,2132,13516.9896978717,1216.52907280846,"Ozark-Ouachita Dry-Mesic Oak Forest","Hardwood",188,66,15,11,6,17,77,"I-B",115,115,0,0.45098,0.45098,0
10,2138,35.039999216795,3.15359992951155,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
10,2139,1081.85997581854,97.367397823669,"Ozark-Ouachita Mesic Hardwood Forest","Hardwood",316,110,25,19,6,18,76,"I-C",0,135,74,0,0.529412,0.290196
10,2140,8576.77980829403,771.910182746463,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
10,2141,15739.0996482037,1416.51896833833,"Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland","Conifer",347,92,5,5,1,5,94,"I-A",196,164,100,0.768627,0.643137,0.392157
10,2142,29.3399993441999,2.64059994097799,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
10,2151,39.9999991059303,3.59999991953373,"West Gulf Coastal Plain Pine-Hardwood Flatwoods","Hardwood-Conifer",179,104,5,5,3,4,93,"I-A",99,235,97,0.388235,0.921569,0.380392
10,2153,1029.74997698329,92.6774979284965,"Central Interior and Appalachian Floodplain Systems-Large Floodplains","Riparian",142,-9999,100,59,41,-9999,59,"III-A",48,237,56,0.188235,0.929412,0.219608
10,2159,129.149997113273,11.6234997401945,"West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods","Hardwood",308,130,38,27,9,21,70,"I-C",38,115,0,0.14902,0.45098,0
10,2160,52406.1788286306,4716.55609457675,"Ozark-Ouachita Shortleaf Pine-Bluestem Woodland","Hardwood-Conifer",100,1223,2,2,2,1,97,"I-A",68,137,112,0.266667,0.537255,0.439216
11,11,86.9999980553985,7.82999982498586,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
11,2132,15311.5096577611,1378.0358691985,"Ozark-Ouachita Dry-Mesic Oak Forest","Hardwood",188,66,15,11,6,17,77,"I-B",115,115,0,0.45098,0.45098,0
11,2139,2033.75995454192,183.038395908773,"Ozark-Ouachita Mesic Hardwood Forest","Hardwood",316,110,25,19,6,18,76,"I-C",0,135,74,0,0.529412,0.290196
11,2140,8828.02980267815,794.522682241034,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
